iter	RMSE
0	23.84135639
1	19.55652971
2	16.35455209
3	14.39869965
4	13.39499596
5	12.64079235
6	12.16913704
7	11.85854971
8	11.59289528
9	11.49171859
10	11.40934507
11	11.30621395
12	11.22190854
13	11.17460181
14	11.11778379
15	11.05682231
16	10.95480914
17	10.90487175
18	10.77114561
19	10.59944273
20	10.57512672
21	10.54083087
22	10.38788082
23	10.3534359
24	10.19489576
25	10.17105274
26	10.13384662
27	10.03998218
28	9.962588675
29	9.847750185
30	9.769324706
31	9.727163365
32	9.701933667
33	9.644859702
34	9.612478845
35	9.483867179
36	9.375344109
37	9.34484173
38	9.2001004
39	9.175056084
40	9.101644777
41	8.984704236
42	8.874235328
43	8.805353112
44	8.735306342
45	8.614906323
46	8.554370203
47	8.470664615
48	8.385985078
49	8.346652088
50	8.293881952
51	8.207173142
52	8.190215437
53	8.09013796
54	8.039798407
55	8.026890698
56	7.950896036
57	7.915610365
58	7.842339732
59	7.787141879
60	7.717003779
61	7.631837021
62	7.599610568
63	7.53698879
64	7.471131503
65	7.452040795
66	7.393812504
67	7.35583774
68	7.292994613
69	7.219630743
70	7.172155422
71	7.142819881
72	7.115564104
73	7.085676308
74	7.068912779
75	7.063628047
76	7.050389984
77	6.972080178
78	6.961761025
79	6.933891984
80	6.909617215
81	6.875335912
82	6.862640946
83	6.820052787
84	6.773191491
85	6.750965411
86	6.716639806
87	6.674884884
88	6.635391269
89	6.616179555
90	6.582909023
91	6.572286705
92	6.555595811
93	6.502448619
94	6.469364715
95	6.449645642
96	6.43692896
97	6.412434288
98	6.405712508
99	6.403541446
