iter	Passed	Remaining
0	151	15035
1	155	7610
2	159	5152
3	162	3903
4	170	3239
5	173	2721
6	176	2341
7	178	2053
8	181	1830
9	185	1666
10	188	1523
11	190	1399
12	193	1294
13	196	1204
14	199	1131
15	203	1066
16	205	1005
17	208	950
18	211	901
19	214	858
20	218	820
21	223	792
22	226	759
23	232	736
24	235	706
25	238	679
26	241	653
27	247	636
28	250	613
29	253	590
30	256	570
31	261	556
32	265	538
33	267	520
34	270	501
35	273	485
36	278	474
37	284	463
38	288	451
39	293	440
40	297	428
41	301	416
42	304	403
43	311	396
44	315	385
45	319	375
46	324	366
47	327	355
48	330	344
49	337	337
50	341	327
51	343	316
52	345	306
53	349	297
54	352	288
55	355	279
56	357	269
57	360	260
58	365	253
59	368	245
60	371	237
61	374	229
62	377	221
63	380	214
64	383	206
65	385	198
66	388	191
67	391	184
68	397	178
69	400	171
70	403	164
71	407	158
72	413	152
73	417	146
74	419	139
75	422	133
76	428	127
77	432	121
78	434	115
79	437	109
80	439	103
81	442	97
82	448	91
83	450	85
84	456	80
85	460	75
86	463	69
87	466	63
88	468	57
89	471	52
90	474	46
91	477	41
92	480	36
93	482	30
94	486	25
95	491	20
96	494	15
97	496	10
98	499	5
99	502	0
