iter	RMSE
0	29.46693378
1	28.45620944
2	27.49296116
3	26.5501812
4	25.63060121
5	24.77391281
6	24.03592993
7	23.25251782
8	22.49407057
9	21.7470512
10	21.08908079
11	20.41092888
12	19.80066227
13	19.22045884
14	18.70910353
15	18.14355522
16	17.62694082
17	17.12977523
18	16.69461585
19	16.24587569
20	15.8651009
21	15.49925709
22	15.1288183
23	14.76023836
24	14.43031367
25	14.09201189
26	13.78997407
27	13.5023699
28	13.24588244
29	12.95300643
30	12.71663222
31	12.44945923
32	12.25148984
33	12.03384661
34	11.81944464
35	11.59905034
36	11.4112247
37	11.21830596
38	11.05003021
39	10.88328562
40	10.71823527
41	10.57382175
42	10.43426215
43	10.31023804
44	10.17172139
45	10.04799951
46	9.941221417
47	9.856993322
48	9.750435482
49	9.666798141
50	9.573611286
51	9.513301158
52	9.43118657
53	9.328888883
54	9.231126965
55	9.159976908
56	9.085803419
57	9.00680478
58	8.928985842
59	8.874896705
60	8.804302192
61	8.743558973
62	8.698311921
63	8.647301225
64	8.58288561
65	8.54736326
66	8.478135701
67	8.424736845
68	8.352408562
69	8.312899994
70	8.273830108
71	8.235529078
72	8.211858759
73	8.159894707
74	8.125753574
75	8.079545988
76	8.040183161
77	8.015080297
78	7.975326256
79	7.92786126
80	7.891265251
81	7.842158763
82	7.80673518
83	7.766858695
84	7.727665816
85	7.684608315
86	7.656496075
87	7.607488673
88	7.576306717
89	7.548849295
90	7.509718825
91	7.458870644
92	7.429387321
93	7.396449275
94	7.354701945
95	7.336454952
96	7.314303523
97	7.293562964
98	7.252655914
99	7.227520809
100	7.19932921
101	7.174306536
102	7.146724893
103	7.131423867
104	7.108090986
105	7.073655883
106	7.049269602
107	7.018980685
108	6.997031021
109	6.976665281
110	6.947114717
111	6.926653335
112	6.906677553
113	6.881079642
114	6.855589382
115	6.825752064
116	6.801324784
117	6.777459194
118	6.760063514
119	6.748437268
120	6.717394853
121	6.696010723
122	6.673555902
123	6.652006004
124	6.619546812
125	6.596005381
126	6.579009839
127	6.568454634
128	6.551438722
129	6.530611622
130	6.512338357
131	6.490284346
132	6.469570843
133	6.449332718
134	6.443353599
135	6.423306889
136	6.406866227
137	6.390447073
138	6.374326095
139	6.361560347
140	6.338799752
141	6.326719324
142	6.314650103
143	6.301086122
144	6.284756205
145	6.26199455
146	6.253045989
147	6.225908402
148	6.214315069
149	6.201416594
150	6.179929011
151	6.156947993
152	6.137439897
153	6.113289275
154	6.094143305
155	6.080772381
156	6.06236268
157	6.04288313
158	6.0238195
159	6.007807633
160	5.991497138
161	5.977217326
162	5.962348634
163	5.949810607
164	5.939461931
165	5.91155681
166	5.90381255
167	5.881646575
168	5.871478997
169	5.863487011
170	5.851762171
171	5.831875155
172	5.821569412
173	5.810095459
174	5.79569706
175	5.7737357
176	5.762635436
177	5.742947797
178	5.730218035
179	5.713655941
180	5.693959295
181	5.682952375
182	5.657416656
183	5.647581098
184	5.631070166
185	5.620748003
186	5.59656493
187	5.568391787
188	5.551996496
189	5.543191639
190	5.533952271
191	5.518860086
192	5.501236918
193	5.482104913
194	5.464163434
195	5.433089217
196	5.419989491
197	5.407595067
198	5.392890686
199	5.384059667
200	5.373479189
201	5.353921094
202	5.334373529
203	5.321364374
204	5.315993878
205	5.304378676
206	5.291205102
207	5.273688743
208	5.257522842
209	5.248707205
210	5.237716584
211	5.22538797
212	5.212337884
213	5.199407672
214	5.182793869
215	5.169749667
216	5.157875122
217	5.142035371
218	5.128457811
219	5.11166879
220	5.097035583
221	5.090651107
222	5.081556329
223	5.069980181
224	5.056420116
225	5.04476919
226	5.025181542
227	5.011069392
228	4.997754837
229	4.978757079
230	4.969127469
231	4.957429328
232	4.939837284
233	4.926823656
234	4.917886638
235	4.903243967
236	4.889565717
237	4.869525314
238	4.857105759
239	4.84653724
240	4.837555082
241	4.815614175
242	4.803530016
243	4.787964214
244	4.779846224
245	4.770196478
246	4.753794411
247	4.735650168
248	4.720340877
249	4.711451296
250	4.69877432
251	4.676895437
252	4.668219339
253	4.657184515
254	4.648651994
255	4.639316114
256	4.630749712
257	4.624571175
258	4.612416353
259	4.602506987
260	4.5887634
261	4.579056168
262	4.568779069
263	4.559064715
264	4.544855096
265	4.527880696
266	4.519128205
267	4.510501623
268	4.501615192
269	4.496942352
270	4.481658614
271	4.473248003
272	4.461848974
273	4.445423232
274	4.437590329
275	4.43016451
276	4.425696694
277	4.41462427
278	4.407183721
279	4.393757998
280	4.382570851
281	4.369563161
282	4.357840443
283	4.345198036
284	4.328720694
285	4.321030221
286	4.316047266
287	4.306931259
288	4.297609238
289	4.288763908
290	4.281975131
291	4.270755815
292	4.260454443
293	4.248506815
294	4.241359055
295	4.22969791
296	4.214350307
297	4.20236082
298	4.193630216
299	4.187284816
300	4.180620045
301	4.174496683
302	4.155797107
303	4.144632888
304	4.134198654
305	4.127943311
306	4.119890485
307	4.111176163
308	4.105478749
309	4.101943357
310	4.093696691
311	4.088661826
312	4.081079524
313	4.07646094
314	4.066606821
315	4.056461955
316	4.045168119
317	4.036553004
318	4.028273209
319	4.011183471
320	4.001866903
321	3.996526004
322	3.990252913
323	3.984221918
324	3.973392515
325	3.964747069
326	3.959136718
327	3.955220842
328	3.943546973
329	3.93598487
330	3.93109586
331	3.920643418
332	3.910229701
333	3.906114398
334	3.894678303
335	3.891836932
336	3.87951412
337	3.872247329
338	3.865635983
339	3.858365157
340	3.852382234
341	3.845738342
342	3.829412957
343	3.823153765
344	3.817523786
345	3.810733131
346	3.802910334
347	3.798029632
348	3.78938446
349	3.784351502
350	3.774876783
351	3.769081856
352	3.760124964
353	3.75591378
354	3.751872321
355	3.741270357
356	3.729848257
357	3.723195619
358	3.716875558
359	3.708452827
360	3.702773949
361	3.69567829
362	3.689888606
363	3.679983346
364	3.674271377
365	3.668955973
366	3.662113923
367	3.657784512
368	3.648753929
369	3.641061547
370	3.626913343
371	3.620294591
372	3.611277639
373	3.603382417
374	3.595421133
375	3.585994383
376	3.580765854
377	3.571325167
378	3.567367932
379	3.561618877
380	3.555444431
381	3.548336425
382	3.544587342
383	3.541155867
384	3.537488009
385	3.533860931
386	3.528069313
387	3.517602028
388	3.509101235
389	3.504268979
390	3.498510495
391	3.490465578
392	3.483108603
393	3.475714917
394	3.472064885
395	3.466004754
396	3.458622058
397	3.451638
398	3.446696959
399	3.442102732
400	3.432536987
401	3.421886456
402	3.415347748
403	3.40679203
404	3.39686965
405	3.391181863
406	3.384823365
407	3.376063423
408	3.369146736
409	3.360480353
410	3.35675738
411	3.352464794
412	3.346416481
413	3.341549416
414	3.333404471
415	3.328443728
416	3.322620894
417	3.315434495
418	3.309526567
419	3.305371019
420	3.29862305
421	3.291696951
422	3.286699073
423	3.282028204
424	3.277551417
425	3.265333145
426	3.25952464
427	3.254434751
428	3.247209484
429	3.241055724
430	3.234428715
431	3.227779661
432	3.220966156
433	3.212325964
434	3.206132049
435	3.201098152
436	3.196152421
437	3.190724839
438	3.185628782
439	3.180628647
440	3.175429101
441	3.171236185
442	3.16532476
443	3.160740447
444	3.154831778
445	3.150699492
446	3.146865729
447	3.143235931
448	3.137032683
449	3.135174311
450	3.132061825
451	3.128646342
452	3.1232663
453	3.1133207
454	3.108902418
455	3.103758279
456	3.097304516
457	3.090019618
458	3.085135542
459	3.082349515
460	3.076455465
461	3.070551935
462	3.067491598
463	3.062007995
464	3.057897779
465	3.054875596
466	3.05304864
467	3.049273258
468	3.043510167
469	3.033130539
470	3.030753074
471	3.026558598
472	3.020202949
473	3.016314179
474	3.014254437
475	3.008689183
476	3.006914424
477	3.002949828
478	2.997688056
479	2.99497393
480	2.988843601
481	2.985707447
482	2.980549558
483	2.978264922
484	2.973573742
485	2.964113683
486	2.958468829
487	2.952454231
488	2.947631628
489	2.942621728
490	2.938322319
491	2.93312328
492	2.928478977
493	2.923227651
494	2.917274111
495	2.912859233
496	2.908277368
497	2.903765883
498	2.900484358
499	2.898234091
500	2.896367944
501	2.886841841
502	2.883096751
503	2.877229224
504	2.872783154
505	2.86764195
506	2.86290493
507	2.859316699
508	2.854169901
509	2.851324469
510	2.843980721
511	2.838888251
512	2.83390912
513	2.829899033
514	2.825263803
515	2.819707968
516	2.817535545
517	2.814845063
518	2.811733506
519	2.807359047
520	2.805109108
521	2.802742672
522	2.801883271
523	2.797733326
524	2.792755488
525	2.789658733
526	2.784945887
527	2.782440363
528	2.781612841
529	2.776509536
530	2.773687587
531	2.768612239
532	2.766495904
533	2.762631037
534	2.75754271
535	2.749370784
536	2.746547033
537	2.743462108
538	2.7424799
539	2.738717017
540	2.734100298
541	2.73079847
542	2.727320466
543	2.725207873
544	2.719591843
545	2.715564623
546	2.713757526
547	2.709013947
548	2.707114033
549	2.703741649
550	2.701707486
551	2.697876842
552	2.695382217
553	2.692786019
554	2.6855727
555	2.683801514
556	2.679999621
557	2.676604897
558	2.674928227
559	2.670496169
560	2.666945596
561	2.662556056
562	2.659123892
563	2.65515966
564	2.652783718
565	2.650957217
566	2.646459136
567	2.644643361
568	2.641882553
569	2.640877814
570	2.638311251
571	2.636060808
572	2.634430912
573	2.629529377
574	2.627247165
575	2.624585427
576	2.62165818
577	2.61783949
578	2.616006166
579	2.609889931
580	2.606978043
581	2.602849687
582	2.598744466
583	2.596016267
584	2.592271759
585	2.589037197
586	2.585411299
587	2.582767681
588	2.580123841
589	2.576282598
590	2.575175106
591	2.572014269
592	2.569004238
593	2.566921778
594	2.563911534
595	2.56232152
596	2.561541477
597	2.558575024
598	2.554874903
599	2.552901376
600	2.550561941
601	2.54739576
602	2.545103321
603	2.542795536
604	2.536108966
605	2.532247491
606	2.531432627
607	2.52654022
608	2.52334206
609	2.521001486
610	2.518631596
611	2.516588171
612	2.513653911
613	2.507306361
614	2.501703534
615	2.499004163
616	2.498451273
617	2.494107576
618	2.489469607
619	2.487203825
620	2.486444052
621	2.484348167
622	2.481934877
623	2.480633461
624	2.479278138
625	2.477023992
626	2.47521678
627	2.47116427
628	2.47044776
629	2.468254679
630	2.464102416
631	2.461907549
632	2.459343992
633	2.455776194
634	2.454102668
635	2.450798879
636	2.448993338
637	2.445826425
638	2.442488561
639	2.439804354
640	2.436500545
641	2.431705889
642	2.427342139
643	2.425130325
644	2.421820484
645	2.41610121
646	2.411786848
647	2.410073263
648	2.405548863
649	2.401598798
650	2.397018311
651	2.392912737
652	2.391631082
653	2.388632078
654	2.387315261
655	2.383564849
656	2.38181513
657	2.378376471
658	2.377233303
659	2.374385098
660	2.373751755
661	2.369542352
662	2.367986117
663	2.366537836
664	2.364632801
665	2.361557685
