iter	Passed	Remaining
0	2	2880
1	6	3036
2	13	4323
3	14	3694
4	16	3291
5	18	3027
6	20	2858
7	21	2716
8	27	3075
9	29	2945
10	31	2833
11	33	2759
12	35	2670
13	37	2619
14	45	2995
15	47	2918
16	49	2842
17	50	2779
18	52	2724
19	55	2721
20	60	2834
21	63	2806
22	65	2773
23	67	2732
24	69	2691
25	75	2815
26	77	2778
27	79	2751
28	81	2724
29	82	2683
30	84	2646
31	89	2712
32	91	2679
33	92	2641
34	94	2601
35	95	2564
36	97	2539
37	99	2519
38	101	2507
39	104	2511
40	107	2513
41	109	2495
42	111	2474
43	113	2456
44	114	2434
45	117	2437
46	121	2471
47	123	2454
48	125	2444
49	127	2423
50	129	2410
51	131	2392
52	136	2438
53	138	2427
54	140	2410
55	141	2392
56	143	2378
57	145	2369
58	148	2373
59	152	2384
60	153	2367
61	155	2352
62	157	2337
63	159	2326
64	160	2312
65	162	2301
66	166	2320
67	168	2307
68	170	2296
69	172	2286
70	173	2273
71	175	2262
72	177	2252
73	182	2288
74	184	2278
75	186	2267
76	188	2255
77	189	2244
78	191	2236
79	193	2225
80	196	2232
81	198	2222
82	200	2212
83	201	2201
84	203	2191
85	205	2181
86	207	2173
87	209	2172
88	212	2171
89	214	2166
90	215	2157
91	217	2147
92	219	2138
93	220	2128
94	222	2122
95	225	2127
96	228	2123
97	229	2115
98	231	2107
99	233	2097
100	234	2090
101	236	2082
102	238	2073
103	241	2076
104	243	2073
105	244	2065
106	246	2059
107	248	2053
108	250	2047
109	252	2039
110	253	2034
111	257	2041
112	259	2036
113	261	2028
114	262	2022
115	264	2016
116	266	2008
117	268	2005
118	270	1999
119	273	2002
120	274	1996
121	276	1989
122	278	1982
123	279	1976
124	281	1971
125	283	1966
126	285	1959
127	288	1963
128	290	1958
129	291	1951
130	293	1945
131	295	1939
132	296	1935
133	298	1930
134	300	1923
135	303	1926
136	305	1922
137	306	1917
138	308	1911
139	310	1905
140	311	1900
141	313	1895
142	315	1890
143	318	1890
144	320	1888
145	321	1882
146	323	1878
147	325	1873
148	327	1868
149	328	1862
150	330	1857
151	333	1857
152	335	1855
153	336	1850
154	338	1846
155	340	1842
156	342	1838
157	344	1833
158	345	1828
159	348	1827
160	350	1825
161	352	1820
162	353	1816
163	355	1811
164	356	1806
165	358	1801
166	360	1796
167	361	1791
168	365	1799
169	368	1797
170	370	1794
171	372	1790
172	374	1788
173	375	1784
174	378	1786
175	381	1785
176	383	1783
177	385	1779
178	387	1775
179	389	1772
180	390	1768
181	393	1766
182	396	1768
183	398	1766
184	400	1762
185	402	1760
186	404	1758
187	406	1756
188	409	1756
189	412	1758
190	414	1755
191	416	1752
192	418	1750
193	420	1747
194	422	1744
195	426	1749
196	428	1748
197	431	1749
198	433	1746
199	435	1742
200	437	1740
201	442	1748
202	444	1746
203	447	1745
204	449	1742
205	452	1744
206	455	1743
207	459	1749
208	461	1746
209	463	1743
210	465	1740
211	467	1738
212	469	1736
213	474	1742
214	476	1738
215	477	1734
216	479	1731
217	481	1728
218	483	1725
219	485	1722
220	489	1724
221	491	1721
222	493	1718
223	494	1714
224	496	1710
225	498	1706
226	500	1702
227	503	1705
228	506	1704
229	508	1702
230	510	1698
231	512	1695
232	514	1692
233	515	1687
234	519	1690
235	521	1689
236	523	1686
237	525	1682
238	527	1679
239	528	1675
240	530	1672
241	535	1676
242	537	1675
243	539	1672
244	541	1668
245	542	1664
246	544	1661
247	546	1657
248	549	1658
249	552	1656
250	554	1653
251	555	1650
252	557	1646
253	559	1642
254	561	1639
255	562	1635
256	566	1637
257	568	1634
258	570	1632
259	572	1628
260	573	1624
261	575	1620
262	577	1617
263	579	1615
264	582	1614
265	584	1611
266	586	1609
267	587	1605
268	589	1602
269	591	1598
270	592	1594
271	596	1595
272	598	1593
273	600	1591
274	602	1587
275	603	1583
276	605	1580
277	607	1576
278	608	1573
279	612	1575
280	614	1572
281	616	1569
282	617	1565
283	619	1561
284	621	1558
285	622	1554
286	624	1552
287	627	1552
288	629	1549
289	631	1546
290	633	1542
291	634	1539
292	636	1535
293	638	1532
294	640	1530
295	643	1530
296	645	1528
297	647	1524
298	649	1521
299	650	1518
300	652	1514
301	653	1511
302	657	1512
303	659	1510
304	661	1507
305	663	1504
306	665	1501
307	666	1497
308	668	1494
309	669	1490
310	673	1492
311	676	1491
312	678	1488
313	680	1487
314	683	1486
315	688	1490
316	693	1493
317	699	1500
318	707	1509
319	717	1523
320	723	1529
321	730	1538
322	736	1543
323	739	1542
324	742	1541
325	745	1541
326	748	1540
327	751	1540
328	754	1538
329	756	1535
330	758	1533
331	761	1531
332	763	1529
333	767	1529
334	769	1527
335	772	1527
336	775	1526
337	777	1523
338	779	1520
339	782	1519
340	786	1519
341	788	1517
342	790	1514
343	793	1513
344	797	1514
345	802	1516
346	805	1515
347	807	1513
348	809	1510
349	812	1509
350	815	1507
351	818	1507
352	821	1505
353	823	1503
354	825	1500
355	828	1498
356	831	1496
357	833	1495
358	836	1493
359	838	1491
360	842	1491
361	845	1489
362	848	1488
363	850	1486
364	852	1483
365	857	1485
366	861	1485
367	864	1483
368	866	1482
369	869	1480
370	873	1480
371	876	1480
372	879	1478
373	881	1476
374	884	1474
375	888	1473
376	891	1473
377	895	1473
378	898	1472
379	901	1471
380	904	1469
381	907	1468
382	910	1467
383	913	1464
384	915	1462
385	919	1461
386	922	1461
387	925	1460
388	928	1458
389	930	1455
390	935	1456
391	938	1456
392	951	1468
393	958	1474
394	963	1475
395	970	1479
396	976	1483
397	981	1483
398	986	1485
399	991	1486
400	996	1487
401	998	1485
402	1016	1506
403	1020	1505
404	1023	1504
405	1027	1502
406	1029	1500
407	1032	1498
408	1036	1497
409	1043	1500
410	1047	1501
411	1051	1500
412	1054	1498
413	1058	1498
414	1061	1495
415	1067	1498
416	1071	1498
417	1074	1495
418	1076	1492
419	1079	1490
420	1085	1492
421	1088	1491
422	1092	1489
423	1093	1485
424	1099	1487
425	1103	1486
426	1105	1484
427	1108	1481
428	1110	1478
429	1117	1481
430	1119	1477
431	1121	1474
432	1124	1472
433	1126	1468
434	1132	1471
435	1136	1469
436	1138	1467
437	1141	1464
438	1144	1462
439	1149	1462
440	1154	1462
441	1158	1461
442	1164	1464
443	1168	1462
444	1171	1461
445	1176	1461
446	1181	1461
447	1184	1459
448	1186	1456
449	1189	1453
450	1196	1456
451	1200	1455
452	1202	1452
453	1206	1451
454	1210	1449
455	1212	1446
456	1215	1444
457	1218	1441
458	1221	1439
459	1223	1436
460	1226	1434
461	1229	1431
462	1231	1428
463	1233	1424
464	1235	1421
465	1252	1435
466	1255	1433
467	1258	1430
468	1260	1427
469	1262	1423
470	1264	1419
471	1266	1416
472	1269	1414
473	1273	1412
474	1275	1410
475	1278	1407
476	1280	1403
477	1282	1400
478	1286	1398
479	1288	1395
480	1290	1392
481	1292	1388
482	1293	1384
483	1295	1381
484	1297	1378
485	1301	1376
486	1303	1373
487	1306	1370
488	1308	1367
489	1310	1363
490	1312	1361
491	1315	1357
492	1318	1356
493	1320	1352
494	1322	1349
495	1324	1346
496	1327	1343
497	1329	1339
498	1335	1340
499	1337	1337
500	1338	1333
501	1340	1329
502	1342	1326
503	1345	1323
504	1348	1321
505	1351	1319
506	1353	1316
507	1355	1313
508	1358	1310
509	1360	1307
510	1363	1305
511	1366	1302
512	1368	1299
513	1370	1296
514	1372	1292
515	1374	1289
516	1377	1287
517	1381	1285
518	1383	1282
519	1385	1279
520	1387	1275
521	1390	1273
522	1393	1270
523	1397	1269
524	1399	1266
525	1401	1263
526	1404	1260
527	1406	1257
528	1409	1255
529	1412	1252
530	1416	1251
531	1419	1248
532	1422	1246
533	1427	1245
534	1430	1243
535	1433	1240
536	1438	1240
537	1444	1240
538	1447	1237
539	1450	1235
540	1452	1232
541	1455	1229
542	1459	1228
543	1462	1225
544	1466	1224
545	1468	1221
546	1472	1219
547	1476	1217
548	1479	1215
549	1481	1211
550	1483	1208
551	1485	1205
552	1489	1203
553	1492	1201
554	1495	1199
555	1498	1196
556	1500	1193
557	1505	1192
558	1507	1189
559	1510	1186
560	1513	1184
561	1515	1181
562	1518	1178
563	1522	1176
564	1526	1175
565	1528	1172
566	1531	1169
567	1533	1166
568	1538	1165
569	1540	1162
570	1543	1159
571	1546	1156
572	1548	1153
573	1554	1153
574	1557	1150
575	1559	1147
576	1561	1145
577	1564	1142
578	1566	1139
579	1569	1136
580	1571	1133
581	1573	1130
582	1575	1126
583	1577	1123
584	1579	1120
585	1581	1117
586	1584	1114
587	1586	1111
588	1588	1108
589	1590	1105
590	1592	1102
591	1594	1098
592	1595	1095
593	1599	1093
594	1601	1089
595	1603	1086
596	1604	1083
597	1606	1080
598	1608	1076
599	1610	1073
600	1613	1071
601	1616	1068
602	1618	1065
603	1620	1062
604	1622	1059
605	1625	1056
606	1628	1054
607	1631	1051
608	1633	1048
609	1635	1045
610	1636	1042
611	1638	1038
612	1640	1035
613	1643	1033
614	1646	1030
615	1648	1027
616	1649	1024
617	1651	1020
618	1653	1017
619	1655	1014
620	1657	1011
621	1660	1009
622	1662	1006
623	1664	1003
624	1666	999
625	1668	996
626	1670	993
627	1672	990
628	1676	988
629	1678	985
630	1679	982
631	1681	979
632	1683	976
633	1685	972
634	1687	969
635	1689	966
636	1692	964
637	1694	961
638	1696	958
639	1698	955
640	1699	952
641	1702	949
642	1704	946
643	1707	943
644	1709	940
645	1710	937
646	1712	934
647	1714	931
648	1716	928
649	1718	925
650	1721	922
651	1723	919
652	1725	916
653	1727	913
654	1729	910
655	1731	907
656	1732	904
657	1735	901
658	1737	899
659	1739	896
660	1742	893
661	1744	890
662	1747	888
663	1748	884
664	1751	882
665	1753	879
666	1755	876
667	1757	873
668	1759	870
669	1761	867
670	1762	864
671	1764	861
672	1767	858
673	1769	855
674	1771	852
675	1773	850
676	1775	847
677	1777	844
678	1779	841
679	1782	838
680	1784	835
681	1786	833
682	1788	830
683	1790	827
684	1792	824
685	1794	821
686	1797	819
687	1800	816
688	1803	813
689	1807	811
690	1814	811
691	1823	811
692	1828	810
693	1833	808
694	1837	806
695	1839	803
696	1846	802
697	1850	800
698	1853	798
699	1859	797
700	1865	795
701	1868	793
702	1872	790
703	1874	788
704	1879	786
705	1882	783
706	1885	781
707	1887	778
708	1889	775
709	1891	772
710	1895	770
711	1897	767
712	1899	764
713	1900	761
714	1902	758
715	1905	755
716	1911	754
717	1914	752
718	1917	749
719	1920	746
720	1926	745
721	1929	742
722	1931	739
723	1933	737
724	1935	734
725	1937	731
726	1940	728
727	1943	726
728	1945	723
729	1947	720
730	1948	717
731	1950	714
732	1952	711
733	1956	708
734	1958	706
735	1960	703
736	1962	700
737	1964	697
738	1966	694
739	1968	691
740	1972	689
741	1974	686
742	1976	683
743	1978	680
744	1980	677
745	1982	675
746	1986	672
747	1988	669
748	1990	667
749	1992	664
750	1995	661
751	1996	658
752	1998	655
753	2002	653
754	2004	650
755	2007	647
756	2009	645
757	2012	642
758	2014	639
759	2018	637
760	2021	634
761	2023	631
762	2025	629
763	2027	626
764	2029	623
765	2032	621
766	2036	618
767	2038	615
768	2040	612
769	2042	610
770	2044	607
771	2047	604
772	2050	602
773	2052	599
774	2054	596
775	2055	593
776	2057	590
777	2059	587
778	2062	585
779	2064	582
780	2066	579
781	2068	576
782	2070	573
783	2072	570
784	2074	568
785	2076	565
786	2079	562
787	2082	560
788	2085	557
789	2087	554
790	2089	552
791	2091	549
792	2095	546
793	2097	544
794	2099	541
795	2101	538
796	2103	535
797	2105	532
798	2108	530
799	2111	527
800	2113	525
801	2115	522
802	2117	519
803	2119	516
804	2121	513
805	2124	511
806	2126	508
807	2128	505
808	2130	502
809	2132	500
810	2134	497
811	2137	494
812	2139	492
813	2142	489
814	2144	486
815	2146	483
816	2148	481
817	2150	478
818	2152	475
819	2154	473
820	2157	470
821	2159	467
822	2160	464
823	2163	462
824	2165	459
825	2167	456
826	2169	453
827	2172	451
828	2175	448
829	2177	445
830	2179	443
831	2181	440
832	2183	437
833	2195	436
834	2197	434
835	2199	431
836	2204	429
837	2207	426
838	2210	424
839	2213	421
840	2215	418
841	2224	417
842	2226	414
843	2228	411
844	2230	409
845	2233	406
846	2235	403
847	2237	401
848	2240	398
849	2242	395
850	2243	392
851	2246	390
852	2248	387
853	2251	384
854	2254	382
855	2256	379
856	2258	376
857	2260	374
858	2262	371
859	2266	369
860	2269	366
861	2272	363
862	2274	361
863	2276	358
864	2278	355
865	2281	353
866	2284	350
867	2287	347
868	2290	345
869	2292	342
870	2295	340
871	2298	337
872	2300	334
873	2302	331
874	2305	329
875	2307	326
876	2309	323
877	2313	321
878	2315	318
879	2318	316
880	2320	313
881	2322	310
882	2324	308
883	2328	305
884	2331	303
885	2334	300
886	2338	297
887	2340	295
888	2345	292
889	2347	290
890	2350	287
891	2353	284
892	2356	282
893	2360	279
894	2363	277
895	2365	274
896	2367	271
897	2369	269
898	2371	266
899	2375	263
900	2378	261
901	2382	258
902	2386	256
903	2390	253
904	2394	251
905	2398	248
906	2402	246
907	2408	244
908	2411	241
909	2414	238
910	2417	236
911	2419	233
912	2424	231
913	2427	228
914	2431	225
915	2433	223
916	2437	220
917	2441	218
918	2443	215
919	2446	212
920	2448	210
921	2451	207
922	2455	204
923	2459	202
924	2462	199
925	2465	196
926	2467	194
927	2471	191
928	2474	189
929	2476	186
930	2479	183
931	2481	181
932	2486	178
933	2489	175
934	2492	173
935	2495	170
936	2500	168
937	2503	165
938	2509	162
939	2512	160
940	2518	157
941	2523	155
942	2527	152
943	2530	150
944	2539	147
945	2543	145
946	2548	142
947	2555	140
948	2559	137
949	2568	135
950	2571	132
951	2575	129
952	2583	127
953	2592	125
954	2598	122
955	2604	119
956	2608	117
957	2614	114
958	2616	111
959	2620	109
960	2623	106
961	2630	103
962	2635	101
963	2638	98
964	2650	96
965	2653	93
966	2662	90
967	2666	88
968	2673	85
969	2679	82
970	2684	80
971	2688	77
972	2691	74
973	2695	71
974	2699	69
975	2703	66
976	2705	63
977	2711	60
978	2714	58
979	2720	55
980	2726	52
981	2730	50
982	2733	47
983	2736	44
984	2742	41
985	2744	38
986	2748	36
987	2751	33
988	2757	30
989	2762	27
990	2765	25
991	2769	22
992	2772	19
993	2775	16
994	2776	13
995	2778	11
996	2780	8
997	2783	5
998	2787	2
999	2790	0
